                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1065,                 1.0241,                 1.0096,                0.80003,                0.76335,                0.84516,                0.52125,                 1.0636,                 0.9454,                0.98193,               0.006733,               0.006733,               0.006733
                     35,                 1.1317,                 1.0149,                 1.0206,                0.74769,                0.83832,                0.83446,                 0.5098,                 1.0734,                0.98244,                 1.0016,               0.006634,               0.006634,               0.006634
                     36,                 1.1287,                  1.024,                 1.0122,                0.80876,                0.78964,                0.83516,                0.49346,                 1.0907,                0.98754,                 1.0167,               0.006535,               0.006535,               0.006535
                     37,                 1.1512,                 1.0651,                 1.0408,                0.77048,                0.84656,                0.86311,                0.51727,                 1.1031,                0.91655,                 1.0013,               0.006436,               0.006436,               0.006436
                     38,                 1.1348,                0.98048,                 1.0062,                0.89045,                0.77807,                0.88053,                0.56102,                  1.056,                 0.8927,                0.98469,               0.006337,               0.006337,               0.006337
                     39,                 1.1182,                0.99959,                 1.0072,                0.84516,                0.81037,                0.83844,                0.52482,                 1.0615,                0.89399,                0.98712,               0.006238,               0.006238,               0.006238
                     40,                 1.1247,                0.99938,                 1.0306,                0.86536,                0.81268,                0.86735,                0.54565,                 1.0426,                0.90223,                0.98407,               0.006139,               0.006139,               0.006139
                     41,                 1.1281,                 1.0045,                 1.0226,                0.92391,                0.80439,                0.87472,                0.52658,                 1.1108,                0.86925,                0.98049,                0.00604,                0.00604,                0.00604
                     42,                 1.1118,                0.94944,                 1.0117,                0.89766,                0.85641,                0.88637,                0.54227,                 1.0153,                0.93157,                0.97265,               0.005941,               0.005941,               0.005941
                     43,                 1.1005,                0.97592,                0.99983,                0.86206,                 0.8904,                 0.8916,                0.55294,                 1.0367,                0.82487,                0.97349,               0.005842,               0.005842,               0.005842
                     44,                 1.0843,                0.97592,                 1.0002,                0.84933,                0.84245,                0.89993,                0.55534,                 1.0531,                0.92579,                0.97175,               0.005743,               0.005743,               0.005743
                     45,                 1.0594,                0.92048,                0.98554,                0.88043,                0.85038,                 0.8676,                0.56963,                 1.0116,                0.84834,                0.96307,               0.005644,               0.005644,               0.005644
                     46,                 1.0454,                0.91246,                0.96792,                0.86816,                0.88379,                0.92209,                0.54508,                 1.0841,                0.83478,                  0.988,               0.005545,               0.005545,               0.005545
                     47,                 1.0749,                0.93523,                0.99937,                0.87134,                0.82533,                0.89311,                0.56557,                 1.0433,                0.78812,                0.97468,               0.005446,               0.005446,               0.005446
                     48,                 1.0138,                0.88722,                0.97354,                0.96284,                0.84157,                0.90154,                0.58906,                 1.0269,                0.80052,                 0.9671,               0.005347,               0.005347,               0.005347
                     49,                 1.0778,                0.89392,                0.97728,                0.89507,                0.87083,                0.90219,                0.56958,                 1.0535,                0.80142,                0.97509,               0.005248,               0.005248,               0.005248
                     50,                 1.0801,                0.90639,                0.99695,                0.88888,                0.85065,                0.91517,                0.58941,                 1.0499,                0.82551,                0.96798,               0.005149,               0.005149,               0.005149
                     51,                 1.0323,                0.86584,                0.97656,                0.92469,                0.88729,                0.94889,                0.57274,                 1.0489,                0.78127,                0.96789,                0.00505,                0.00505,                0.00505
                     52,                 1.0376,                0.87934,                0.98955,                0.90514,                0.85244,                0.92277,                0.58484,                 1.0477,                0.79896,                0.96748,               0.004951,               0.004951,               0.004951
                     53,                 1.0236,                0.86443,                0.98035,                0.88373,                0.91043,                 0.9178,                0.57737,                 1.0132,                0.81492,                0.95868,               0.004852,               0.004852,               0.004852
                     54,                0.98684,                0.88238,                 0.9713,                0.90321,                0.90588,                0.92542,                0.58339,                 1.0073,                0.76223,                0.94721,               0.004753,               0.004753,               0.004753
                     55,                 1.0302,                0.84418,                0.95979,                0.89679,                0.87234,                0.91582,                0.58446,                0.97952,                0.76382,                0.94389,               0.004654,               0.004654,               0.004654
                     56,                 1.0312,                0.84484,                0.97231,                0.94586,                0.84883,                0.92077,                0.60915,                0.98011,                0.74579,                0.93478,               0.004555,               0.004555,               0.004555
                     57,                 1.0181,                0.84423,                0.96427,                 0.8495,                0.91335,                0.92811,                0.59933,                0.97173,                0.74522,                 0.9368,               0.004456,               0.004456,               0.004456
                     58,                0.99124,                0.83341,                0.96925,                0.94484,                 0.9006,                0.94421,                0.61185,                0.97222,                0.72517,                0.93478,               0.004357,               0.004357,               0.004357
